orthology	C10	M11	D10	C12	M13	D11	C13	M6	D2	C14	M7	D6	C15	M8	D8	C9	M9	D9
K00001	76.06969686	36.5803075	125.0932679	76.89153603	78.499933	93.72098516	63.98026186	36.69767602	77.43368984	30.13227065	46.75821902	56.40557437	19.77884661	122.6705299	62.79878561	13.18347443	25.58684821	80.66101083
K00002	40.0591194	30.23400975	46.25645033	21.91824983	26.57640573	27.46767251	34.34063774	19.07273726	86.48319312	24.39082371	57.91504012	45.72767311	31.06023566	39.35752678	74.96547458	50.47077359	37.99744411	39.24937565
K00003	401.2367574	385.1440099	389.5961136	419.3208265	239.8391877	356.6049413	639.05923	274.6782275	635.0829045	274.2676177	373.17461	540.7393267	136.7485093	316.3252147	650.6188957	292.2428608	364.4174585	319.3133911
K00004	5.007799869	11.85070596	0.697005604	1.528574231	3.306723206	4.578722609	2.251001487	18.86721252	24.38530106	6.229734895	5.94343457	22.46348838	1.662712592	2.362539405	11.71097905	10.54978894	7.580288078	3.073716837
K00005	19.236184	20.00688753	94.07171376	20.47025825	29.79819801	37.79653239	35.42360028	134.2806622	36.68370187	30.01009764	70.0643582	36.32368831	8.111675859	21.13321415	36.27201835	10.46961962	161.768948	31.3513261
K00006	0.880055399	0	0	0	0.383776243	0	0	0	0	0	0	0	0	0	0	0	0	0
K00007	0	0	0	0	0	0	0	0	0	0	0.781477876	0	0	0	0	0	0	0
K00008	218.6219496	241.1960431	290.6925564	228.4262144	176.6319491	290.9201635	504.3945351	155.6263583	439.5904333	457.8896257	311.3590608	315.281577	335.1054579	224.6125022	476.5655826	418.4532543	180.5633699	311.1440139
K00009	11.22360956	21.08514389	76.61261838	19.25781546	39.4923759	29.37334291	23.48723499	93.3084624	27.94785013	7.498190867	28.96320676	38.53334763	6.350175192	50.40058945	17.74039626	15.20512034	137.6337824	23.99352994
K00010	82.64298094	41.29979495	64.07928514	84.71934272	40.12548157	77.79834665	289.8137954	44.20502528	108.7432513	66.11183957	110.4444192	107.6059901	28.46866647	58.42252858	142.5346112	70.73522671	52.29230489	47.27975459
K00011	0	0	0	0	0	0	0	0.274895032	0	0	0.295325941	0	0	0	0	0	0	0
K00012	1584.202451	1524.886309	1580.792649	1495.326876	1300.502409	1581.741558	1460.892524	1270.374738	1150.910199	1298.532618	1279.837238	1021.179635	1310.487393	1446.761578	962.5277363	1197.890576	992.9781599	1155.617946
K00013	538.4997587	468.4785609	590.5934397	532.202481	540.8150109	568.0563211	636.3771629	518.0775312	688.9630246	651.7197001	661.3329588	578.0403865	641.9836169	546.1558313	747.2278394	683.4329725	541.4745383	572.0362329
K00014	329.4349058	345.5404701	516.3786894	276.3207996	687.8106009	501.349269	374.0871401	613.4471231	293.1798459	838.3513348	634.7846882	302.3792187	949.0253581	595.2292809	390.0417283	811.9435628	603.7487632	296.3637536
K00015	5.940286741	6.042690331	16.20556149	6.446703676	4.735980004	16.26856463	11.45463201	6.242668028	0.431250518	3.493878084	8.316766324	6.441736313	3.521411435	11.48603157	4.699942884	1.459011297	5.442935568	12.11831056
K00016	112.9803231	130.2458112	336.6420285	287.9464697	251.5945108	269.8224262	332.2370014	106.5764174	320.916632	155.8430602	209.9540284	252.564612	72.06439625	264.6109063	389.6162203	174.2708734	140.4781662	245.0248264
K00018	138.333507	99.28869677	195.1639491	159.6477087	121.3888063	163.6050357	387.6927141	158.0477707	200.3169164	129.0102644	189.8004257	231.4009642	68.8245833	158.4789966	226.9393922	130.7866694	164.1420963	149.9412664
K00019	14.02542223	9.076822913	13.63765485	27.3458177	15.72831225	6.257091496	28.95905144	6.140370613	36.10274298	12.49789611	16.82945021	31.00901523	6.015274695	9.780853466	25.07944793	21.03473054	10.3048296	17.14343194
K00020	8.074710433	3.571601939	8.090244952	13.35101489	5.66457184	13.33946703	28.6647654	19.22808917	15.18663889	15.58026296	27.73466449	22.57039856	5.187222374	7.429503596	16.63434569	5.814948231	17.00456129	5.989028074
K00021	0.319193194	0	2.752567797	0	0.170031806	0.904179436	0	1.652105465	0	0.253853211	0.454696206	0.403398314	0.248883743	0	0	0.495129392	3.570146462	0.305346405
